text_en,text_tfidf
Over 15 stray dogs create nuisance at night and they not be sterilized or Neutered. Please do the needful to ensure safety of the neighbourhood and peace from barking noises especially at night,stray dog create nuisance night sterilized neutered please needful ensure safety neighbourhood peace barking noise especially night
Between Venus Hydra apartment and Sai Krupa heritage this road is hazardous. Pile of bricks have been just dumped here without crushing it. Please fix,venus hydra apartment sai krupa heritage road hazardous pile brick dumped without crushing please fix
"Respect sir/madam,

There is a big vacat land surronding on left and back side of our apartment. People from surronding place are dumping garbage and also there are some sewage water entering our surrounding. Its becoming very difficult to stay at our apartment. Kindly take necessary action immediately.",respect sir madam big vacat land surronding left back side apartment people surronding place dumping garbage also sewage water entering surrounding becoming difficult stay apartment kindly take necessary action immediately
"Please construct the road. daily accidents are happening. it's too dangerous. 
Sy. No. 85/A & 86/A, Next to Sanathan Arcade Apt, behind HDFC Bank Kumbena Agra, Bengaluru, Karnataka 560067

please look into the issue ASAP.",please construct road daily accident happening dangerous next sanathan arcade apt behind hdfc bank kumbena agra bengaluru karnataka please look issue asap
"From the exit of Nandi toll towards kanakapura Road, from that point from tataguni till almost kaggalipura police station the roads are in most bad shape eith lot of potholes and its very difficult especially for 2 wheelers to move around. If fixed at earliest it could save many precious lives and make travelling more safer and happier",exit nandi toll towards kanakapura road point tataguni till almost kaggalipura police station road bad shape eith lot pothole difficult especially wheeler move around fixed earliest could save many precious life make travelling safer happier
"Sir near back gate of kle College next to it mes College is there,  here the dogs are biting simply it has biten for more people even working staffs as well as students the doctor who give vaccines they are saying that dog should be killed otherwise where ever u go it has taken ur blood smell if u walk in the same road it will definately bite u again pls inform to BBMP they r saying sir pls kindly take action pls sir pls I have called u many times but no response sir kindly take action.",sir near back gate kle college next me college dog biting simply biten people even working staff well student doctor give vaccine saying dog killed otherwise ever taken blood smell walk road definately bite pls inform bbmp saying sir pls kindly take action pls sir pls called many time response sir kindly take action
BBMP work stopped halfway and stones strewn all over the roads. The drainage work has been stopped abruptly and us causing major inconvenience and there are no one to complaint. Please get the contractor to complete the work immediately.  This is in 2nd cross  chikkananjunda reddy layout Babusapalya,bbmp work stopped halfway stone strewn road drainage work stopped abruptly causing major inconvenience one complaint please get contractor complete work immediately cross chikkananjunda reddy layout babusapalya
It is filthy inside and outside. Water overflowing and trash dumped around.,filthy inside outside water overflowing trash dumped around
Vegetable Pushcart/Vendors have been using Loudspeakers. They are very noisy and generate unnecessary noise to attract buyers.,vegetable pushcart vendor using loudspeaker noisy generate unnecessary noise attract buyer
You can shutdown the power today whole day because every saturday and sunday you cut the power but your not shutting the power from monday to friday so shutdown the power for today whole day,shutdown power today whole day every saturday sunday cut power shutting power monday friday shutdown power today whole day
Drain cement slab is not leveller. No proper work. Any government come it only tax payer money get in drain. No accountability for the work,drain cement slab leveller proper work government come tax payer money get drain accountability work
"Dear Sir/Madam, there is continuous barking of dogs from residences opposite to the BBMP park throughout the night creating public nuisance and noise pollution at night. The pet owners do not do anything to stop this continuos barking of dogs. The dogs are quite in the morning, but start barking in the night around 10 30 pm. This is affecting the sleep of nearby residents and is a public nuisance. Please educate the pet owners to ensure that this noise pollution is stopped.",dear sir madam continuous barking dog residence opposite bbmp park throughout night creating public nuisance noise pollution night pet owner anything stop continuo barking dog dog quite morning start barking night around affecting sleep nearby resident public nuisance please educate pet owner ensure noise pollution stopped
"Trees touching electricity wire and has danger of short circuit. kindly look into this. location - Hennur 3rd cross, Hrbr layout 4th block, grace garden apt",tree touching electricity wire danger short circuit kindly look location hennur cross hrbr layout block grace garden apt
"Streetlight in front of Bosch building not working, was removed while replacing electricity post
Address
8th Cross, Victoria Layout
BANGALORE - 560047",streetlight front bosch building working removed replacing electricity post address cross victoria layout bangalore
Bore well sound  from morning to whole night still it s on..,bore well sound morning whole night still
"Roads are digged & closed for gutter work & it's been many days but they are like that only. Please repair so that we can use road.
Thank you!",road digged closed gutter work many day like please repair use road thank
Hi please help clear the huge garbage dump next to my house dumped by whole area residents.,please help clear huge garbage dump next house dumped whole area resident
